city,state,church,total_members,additions,losses,ruling_elders,deacons,tithes_offerings,building_fund_offering,total_contributions,other_income,total_church_income,current_expenses,building_fund_disbursed,grand_total_disbursements,per_capita_giving
Mobile,AL,Christ Presbyterian Church,53,2,32,2,2,236429,0,262964,0,262964,182424,0,223344,5366.61224489796
Richmond,IN,Christ Presbyterian Church,204,21,5,11,7,599795,51826,742673,9663,752336,431388,36490,685576,4556.27607361963
Milford,CT,Christ Presbyterian Church - Milford,24,4,0,NA,NA,98806,NA,167584,NA,167584,170035,NA,182617,7980.19047619048
Olive Branch,MS,Christ Presbyterian Church at Olive Branch,221,13,8,7,10,728223,NA,781803,NA,781803,801581,NA,889859,4738.2
Oxford,MS,Christ Presbyterian Church at Oxford,620,0,0,NA,NA,411448,NA,411448,NA,411448,NA,NA,40302,663.625806451613
Burke,VA,Christ Presbyterian Church Burke,135,26,6,4,3,311245,NA,326192,24240,350432,119141,5500,136211,3624.35555555556
Auburn,AL,Christ Presbyterian Church of Auburn,361,43,35,5,7,955684,366812,1331246,NA,1331246,562982,315577,907659,4379.09868421053
Claremore,OK,Christ Presbyterian Church of Claremore,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Clarksville,TN,Christ Presbyterian Church of Clarksville,145,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Somerville,TN,Christ Presbyterian Church of Fayette County,220,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgetown,TX,Christ Presbyterian Church of Georgetown,224,28,2,7,8,781551,117962,937395,50966,988361,594962,249993,917329,5067
Wheaton,IL,Christ Presbyterian Church of Wheaton,423,83,2,5,5,1719990,1389564,3234380,87418,3321798,1628838,1161589,3030374,10139.1222570533
Southfield,MI,"Christ Presbyterian Church, PCA",66,26,9,3,3,207013,15325,225165,NA,225165,180403,4245,194463,4690.9375
Mobile,AL,Christ Redeemer Church,186,24,11,4,7,482292,NA,482292,NA,482292,448256,NA,472256,3152.23529411765
Mobile,AL,Christ Redeemer Church,186,24,11,4,7,482292,NA,482292,NA,482292,448256,NA,472256,3152.23529411765
Jonesboro,AR,Christ Redeemer PCA - Mission,50,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hilton Head Island,SC,Christ Redeemer Presbyterian Church,582,47,84,16,13,2287391,0,2448147,70610,2518757,1806357,0,2087542,5464.61383928571
Alexandria,PA,Christ Reformed Church,37,0,3,2,0,103774,0,129245,3862,133107,2084,20004,26352,4308.16666666667
Laurel,MD,Christ Reformed Presbyterian Church,98,5,6,2,5,326345,NA,332148,9510,341658,230528,76989,327485,4370.36842105263
Fort Mill,SC,Christ Ridge Presbyterian Church,165,29,10,8,4,460000,0,460000,0,460000,390000,NA,434300,3172.41379310345
Seattle,WA,Christ the Cornerstone Church,52,5,1,2,2,338697,NA,340147,1391,341538,168489,19800,205528,9718.48571428571
Midlothian,TX,Christ the King,144,5,5,2,2,418187,NA,425910,259,426169,355288,NA,397026,3609.40677966102
Braselton,GA,Christ the King,225,33,1,4,0,868587,0,904449,4148,908597,835492,0,898582,5024.71666666667
Dorchester,MA,Christ the King  - Dorchester,92,16,0,3,1,312695,NA,323397,NA,323397,242227,NA,243327,4899.95454545455
Louisville,TN,Christ the King Church,84,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wilmington,NC,Christ the King Church,131,13,20,4,6,411096,0,449819,6754,456573,307431,0,358094,3779.99159663866
Hastings,MI,Christ the King PCA,64,9,2,3,2,90000,4000,98000,NA,98000,95000,NA,115000,2085.10638297872
Port St. Lucie,FL,Christ the King Presbyterian Church,78,15,19,1,2,208498,34850,243348,NA,243348,212947,NA,213297,4055.8
Joplin,MO,Christ the King Presbyterian Church,121,18,16,2,4,180442,8427,192369,4853,197222,155013,NA,163820,2404.6125
Roanoke,VA,Christ the King Presbyterian Church,354,16,29,6,7,933893,43497,977390,18068,995458,649888,130263,922279,3528.48375451264
Norman,OK,Christ the King Presbyterian Church,281,17,6,3,4,258909,6000,264909,0,264909,NA,NA,0,1193.28378378378
Vero Beach,FL,Christ the King Presbyterian Church,124,8,7,3,5,364982,NA,420265,8482,428747,333532,2428,410240,3654.47826086957
Indian Shores,FL,Christ the King Presbyterian Church,108,8,1,4,6,217164,150,224224,2777,227001,195593,0,220984,2385.36170212766
Raleigh,NC,Christ The King Presbyterian Church,373,37,34,10,4,1245092,NA,1280492,3112,1283604,1137902,42778,1309393,5061.23320158103
El Paso,TX,Christ the King Presbyterian Church,222,41,10,7,5,477037,NA,477037,NA,477037,461907,NA,489956,2458.95360824742
Cambridge,MA,Christ The King Presbyterian Church,174,5,72,5,2,734605,20127,754732,108771,863503,785328,29399,980279,6086.54838709677
Conshohocken,PA,Christ The King Presbyterian Church,143,15,10,5,6,476858,97198,586659,7881,594540,350790,52408,504403,5014.17948717949
Houston,TX,Christ the King Presbyterian Church,1383,157,49,9,16,7290175,3648056,10960569,614427,11574996,7217116,1049628,8891583,10418.7918250951
Austin,TX,Christ the King Presbyterian Church Austin,148,2,0,4,5,431592,174145,615661,23689,639350,308399,18560,362816,5700.56481481481
Lees Summit,MO,Christ the Redeemer,129,12,7,3,3,328907,22614,373695,16511,390206,304307,129763,480833,3492.47663551402
Portland,ME,Christ the Redeemer Presbyterian Church,201,24,4,5,3,492021,191700,692829,7607,700436,361773,NA,427731,4844.95804195804
Danbury,CT,Christ the Shepherd Presbyterian Church,67,3,0,0,0,116000,0,116000,96000,212000,213000,0,214000,3411.76470588235
Orlando,FL,Christ United Fellowship Orlando,142,21,5,4,2,439723,NA,439723,63772,503495,567825,NA,583723,3726.46610169492
Goshen,NY,Christ's Church Hudson Valley,65,7,2,2,1,87600,NA,87600,NA,87600,60000,NA,60000,1536.84210526316
Miami,FL,Christchurch Miami,152,20,7,3,4,514337,NA,514337,157500,671837,591940,NA,649563,3383.79605263158
Atlanta,GA,ChristChurch Presbyterian,429,31,90,10,9,2231604,0,2233797,30787,2264584,1685113,489624,2341584,7521.20202020202
Danbury,CT,Christian Community Church,46,7,36,5,7,152800,1108,170604,0,170604,0,0,22406,7417.5652173913
Charleston,SC,Church Creek Presbyterian Church,210,27,4,3,5,785978,NA,811800,NA,811800,818007,NA,921711,5011.11111111111
Richmond,VA,Church Hill Presbyterian Church,152,14,0,4,5,284825,NA,327171,4076,331247,243287,NA,252107,2772.63559322034
Calabasas,CA,Church in the Canyon,49,3,0,2,3,245016,NA,263517,11973,275490,179026,0,207585,5728.63043478261
Whitefish,MT,Church of the Cross,75,0,0,NA,NA,190000,NA,190000,NA,190000,162000,NA,173000,3800
Durham,NC,Church of the Good Shepherd,772,26,32,16,10,1902496,10550,2141884,4970,2146854,1762970,980483,3057510,3410.64331210191
Indian Trail,NC,Church of the Redeemer,383,44,20,6,9,937856,0,956648,10219,966867,616929,138500,845197,3066.17948717949
Manchester,NH,Church of the Redeemer,77,8,7,1,NA,204943,80200,324780,11000,335780,228000,71000,328850,5238.38709677419
Atlanta,GA,Church of the Redeemer,310,16,6,6,0,748499,150,749691,7034,756725,885269,30893,980807,2974.96428571429
Cortland,NY,Church of the Redeemer,123,3,0,3,6,127852,NA,138352,4249,142601,170232,NA,182921,1554.51685393258
Flagstaff,AZ,Church of the Resurrection,40,28,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bessemer,AL,Church of the Way,51,0,3,1,2,85515,NA,86329,1525,87854,92358,NA,98966,1761.81632653061
Philadelphia,PA,Church Without Walls Mission,0,0,0,0,0,0,0,23444,0,23444,8934,0,27061,0
Eugene,OR,City Church,57,4,2,3,NA,129000,0,132000,0,132000,125000,0,126000,3142.85714285714
Atlanta,GA,City Church - Eastside,200,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nashville,TN,City Church of East Nashville,253,8,7,2,0,563085,0,563085,0,563085,464516,0,590904,3753.9
Richmond,VA,City Church of Richmond,432,38,24,7,9,895983,0,980054,13291,993345,690647,0,901152,3379.49655172414
St. Petersburg,FL,City Church St. Petersburg,90,7,6,6,2,320782,NA,357500,NA,357500,339711,NA,370948,4965.27777777778
Wilmington,DE,City Church Wilmington,141,12,41,3,1,287098,0,290126,39500,329626,277968,0,305244,3053.95789473684
Columbia,MD,City of Hope Church,132,24,3,2,3,410666,NA,410666,NA,410666,336046,NA,395060,4322.8
Oklahoma City,OK,City Presbyterian Church,275,45,20,4,NA,719000,NA,719000,NA,719000,NA,NA,NA,3195.55555555556
Albuquerque,NM,City Presbyterian Church Albuquerque,133,7,5,5,2,323755,4345,360337,0,360337,330317,0,359010,3567.69306930693
Pittsburgh,PA,City Reformed Presbyterian Church,184,29,0,4,3,256990,0,272869,1007,273876,247960,0,275060,1819.12666666667
Ft. Lauderdale,FL,CityChurch,51,10,1,3,0,141906,3000,198610,0,198610,207594,0,220263,3894.3137254902
Boston,MA,Citylife Presbyterian Church,337,49,6,2,4,1130488,NA,1162701,22811,1185512,924971,NA,1351233,4152.50357142857
Eau Claire,WI,Clear Water Presbyterian Church,79,29,2,0,0,71770,0,71770,NA,71770,73218,0,78618,1281.60714285714
Eau Claire,WI,Clear Water Presbyterian Church,79,29,2,0,0,71770,0,71770,NA,71770,73218,0,78618,1281.60714285714
Clemson,SC,Clemson Presbyterian Church,632,58,8,14,11,23261793,550,23290028,0,23290028,1478553,0,2011360,45488.3359375
Augusta,GA,Cliffwood Presbyterian Church,134,14,30,3,4,257114,0,257114,2883,259997,277193,NA,305793,2764.66666666667
Jacksonville Beach,FL,Coastal Presbyterian Church,87,23,1,1,NA,209828,NA,265828,NA,265828,252224,NA,252224,3055.49425287356
Coeburn,VA,Coeburn Presbyterian Church,69,1,7,2,3,92600,NA,92600,1100,93700,149000,NA,155000,1569.49152542373
Holland,IA,Colfax Center Presbyterian Church,200,2,2,5,7,207865,25955,323138,NA,323138,187408,NA,217298,2084.76129032258
Oxford,MS,College Hill Presbyterian Church,80,41,19,7,4,439941,21996,461937,NA,461937,468444,50000,592344,5774.2125
Colleyville,TX,Colleyville Presbyterian Church,254,28,57,4,7,573988,NA,573988,321,574309,406455,NA,504935,2786.34951456311
Collins,MS,Collins Presbyterian Church,54,0,0,NA,NA,112500,NA,112500,NA,112500,11600,NA,39600,2343.75
Collinsville,AL,Collinsville Presbyterian Church,15,0,0,NA,NA,11700,NA,13700,NA,13700,4760,NA,4760,1141.66666666667
Columbia,MD,Columbia Presbyterian Church,376,22,49,14,10,1364672,32151,1396823,273443,1670266,1169768,232428,1697709,4535.13961038961
Columbia,MS,Columbia Presbyterian Church,85,40,1,2,7,281817,NA,282969,NA,282969,NA,NA,22204,3674.92207792208
Columbia,SC,Columbia Presbyterian Church,545,62,43,8,7,1737429,273637,2173672,153473,2327145,1271218,NA,1479786,5353.87192118227
Columbia,SC,Columbia Presbyterian Mission,48,5,0,0,33,36300,1300,65000,0,65000,52099,11535,65000,1547.61904761905
Griffin,GA,Community Church Griffin,50,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Louisville,KY,Community Presbyterian Church,114,33,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
McIntosh,FL,Community Presbyterian Church,24,1,11,3,NA,116884,NA,118694,32,118726,79517,NA,79867,4945.58333333333
Live Oak,FL,Community Presbyterian Church,53,2,6,1,1,114102,NA,117496,NA,117496,108000,NA,114500,3012.71794871795
Moody,AL,Community Presbyterian Church,149,11,20,7,7,492431,NA,511215,43434,554649,453239,NA,504359,3993.8671875
Newark,NJ,Comunidade Crista Presbiteriana,268,22,106,11,10,472791,0,528766,0,528766,538747,0,538747,2579.3463414634102
Gulf Breeze,FL,Concord Presbyterian Church,157,0,4,3,2,197773,3370,263260,0,263260,265773,0,293623,2250.08547008547
Waterloo,IL,Concord Presbyterian Church,128,1,8,4,6,320046,6550,436430,23437,459867,210866,1560,335053,3730.17094017094
Riverton,UT,Copper Hills Church,21,9,0,0,1,23035,0,23035,120000,143035,24000,0,27000,1919.58333333333
Ormond Beach,FL,Coquina Presbyterian Church,19,2,10,1,1,75486,0,79697,0,79697,89756,NA,89856,4194.57894736842
Ft. Lauderdale,FL,Coral Ridge Presbyterian Church,1895,96,89,15,44,5145009,1675562,8200898,2437024,10637922,8479531,370383,9193781,5563.70284938942
Las Cruces,NM,Coram Deo,160,34,4,NA,NA,240000,0,240000,NA,240000,NA,NA,0,1500
Spokane,WA,Coram Deo Presbyterian Church,162,16,9,2,4,382288,NA,398683,5428,404111,252879,82241,376919,2997.61654135338
Suwanee,GA,Coram Deo Presbyterian Church,18,0,0,NA,1,50000,NA,50000,NA,50000,50000,NA,50400,3571.42857142857
Draper,UT,Corner Canyon Church,140,23,78,4,3,304671,0,322742,3498,326240,299938,8127,321482,3227.42
Delafield,WI,Cornerstone Church,233,28,7,6,8,661972,NA,661972,3221,665193,375880,47952,579575,3484.06315789474
Hampstead,MD,Cornerstone Church PCA,115,13,2,4,2,198364,7000,220172,NA,220172,149718,NA,190080,2621.09523809524
Houston,TX,Cornerstone Houston,124,0,0,NA,NA,706580,NA,706580,NA,706580,656519,NA,731699,7210
Bradenton,FL,Cornerstone of Lakewood Ranch,306,52,15,6,8,1415587,7458,2233045,11600,2244645,1419297,7458,1459255,9968.95089285714
Muskegon,MI,Cornerstone PCA,40,31,0,0,0,27768,0,215238,0,215238,158400,0,158400,6943.16129032258
Ackley,IA,Cornerstone Presbyterian Church,88,0,1,6,5,79094,NA,203109,4000,207109,226090,NA,239890,2308.05681818182
Huntsville,AL,Cornerstone Presbyterian Church,591,62,19,13,19,2255601,193150,2519680,97131,2616811,1185426,1071364,2456740,5163.27868852459
Franklin,TN,Cornerstone Presbyterian Church,648,60,25,11,13,1777286,104585,1886032,458544,2344576,1510529,NA,1664517,3398.25585585586
Castle Rock,CO,Cornerstone Presbyterian Church,91,22,0,4,3,192000,10500,212350,1810,214160,156763,0,191447,2869.59459459459
Kemblesville,PA,Cornerstone Presbyterian Church,356,60,5,8,7,1525000,145000,1686000,NA,1686000,1450000,145000,1812300,4735.95505617978
Palm Beach Gardens,FL,Cornerstone Presbyterian Church,28,0,0,NA,NA,125000,NA,125000,NA,125000,100000,NA,106600,5000
Center Valley,PA,Cornerstone Presbyterian Church,223,35,10,10,3,554660,0,581664,14043,595707,394504,45343,520259,2982.89230769231
Brevard,NC,Cornerstone Presbyterian Church,64,5,15,5,1,319750,NA,319750,NA,319750,246430,NA,286430,5329.16666666667
California,MD,Cornerstone Presbyterian Church,493,30,15,5,2,1357746,0,1449362,22421,1471783,1067543,65700,1495055,4543.45454545455
Lansdale,PA,Cornerstone Presbyterian Church,126,10,2,4,6,309345,90000,427557,15767,443324,363724,NA,397520,4914.44827586207
Columbia,SC,Cornerstone Presbyterian Church,150,0,0,NA,NA,104857,NA,104857,NA,104857,NA,NA,NA,699.046666666667
Tallahassee,FL,Cornerstone Presbyterian Church,21,0,14,3,3,94725,NA,94725,178,94903,46723,NA,53223,4510.71428571429
Boardman,OH,Cornerstone Presbyterian Church,68,4,13,4,5,190468,NA,192048,NA,192048,158325,NA,183225,2824.23529411765
Grayslake,IL,Cornerstone Presbyterian Church Grayslake,39,0,15,2,3,107738,NA,107738,45445,153183,162114,NA,163114,2911.83783783784
Millers Falls,MA,Covenant Church,28,1,3,0,1,54226,15,56609,NA,56609,46059,NA,49027,2461.26086956522
Whitestone,NY,Covenant Church,72,2,4,2,0,15700,0,15700,0,15700,160000,0,164000,373.809523809524
Palm Bay,FL,Covenant Church,477,65,11,16,17,1179227,707192,2060782,5102,2065884,1093412,55241,1365734,5352.68051948052
Fayetteville,AR,Covenant Church,181,6,6,4,5,2322300,1000,2323300,0,2323300,287100,0,358200,16361.2676056338
Naples,FL,Covenant Church of Naples,1609,0,0,NA,NA,5700000,NA,5700000,NA,5700000,5700000,NA,5768728,3906.78546949966
Lexington,SC,Covenant Community Church,69,0,0,NA,NA,192517,NA,192517,NA,192517,172716,NA,184596,3437.80357142857
Richmond,KY,Covenant Community Church,133,16,0,4,6,280523,31802,322200,367961,690161,369072,60189,473253,3790.58823529412
Wexford,PA,Covenant Community Presbyterian Church,217,7,0,6,6,371355,NA,375114,NA,375114,334656,NA,376628,2389.26114649682
Champaign,IL,Covenant Fellowship Church,169,23,7,4,NA,540125,NA,574281,399270,973551,1283791,NA,1340277,4594.248
70565 Stuttgart,NA,Covenant Fellowship Church,95,20,3,4,3,203242,0,203242,55101,258343,176350,0,182950,2746.51351351351
West Orange,NJ,Covenant Fellowship Church,156,10,0,2,7,572495,NA,572495,NA,572495,510000,NA,571000,5558.20388349515
South Holland,IL,Covenant Fellowship Church of South Holland,124,0,0,NA,NA,243532,NA,243532,NA,243532,NA,NA,86542,1963.96774193548
Greensboro,NC,Covenant Grace Church,112,21,8,3,NA,424581,NA,424819,1626,426445,273510,NA,284246,4291.10101010101
Casselberry,FL,Covenant Life Community Church,28,23,0,0,0,136349,0,136349,NA,136349,18150,0,109050,5928.21739130435
Sarasota,FL,Covenant Life Presbyterian Church,751,23,4,6,5,2239637,13402,2533705,30394,2564099,2540303,13402,2927443,3661.42341040462
Briarwood,NY,Covenant of Grace Church,71,4,3,2,1,228448,NA,228448,NA,228448,199343,NA,259513,4079.42857142857
Reisterstown,MD,Covenant of Grace Presbyterian Church,260,12,27,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Port,FL,Covenant of Grace Presbyterian Church,59,10,3,2,3,69634,0,81729,0,81729,83435,0,84995,1513.5
Nitro,WV,Covenant Presbyterian Church,89,7,1,2,5,156800,11903,168703,NA,168703,NA,NA,11178,1895.5393258427
Panama City,FL,Covenant Presbyterian Church,163,7,8,3,5,505836,0,552385,5362,557747,552934,NA,610142,4527.74590163934
Groton,CT,Covenant Presbyterian Church,104,11,2,4,3,198732,120895,322979,0,322979,187021,0,193472,3844.9880952381
Dublin,GA,Covenant Presbyterian Church,49,9,2,3,2,148229,16250,164479,1746,166225,144946,0,159081,3738.15909090909
Fort Smith,AR,Covenant Presbyterian Church,189,33,30,4,5,812184,20226,839307,42817,882124,710809,44274,810439,4823.60344827586
"Uruma City, Okinawa",NA,Covenant Presbyterian Church,45,8,30,2,0,60000,0,60000,0,60000,0,0,0,2068.96551724138
Fayetteville,GA,Covenant Presbyterian Church,104,10,41,4,7,392629,NA,409553,NA,409553,350635,NA,400847,4356.94680851064
Waynesville,NC,Covenant Presbyterian Church,17,0,1,3,0,45521,NA,48586,116,48702,43493,NA,49793,2858
Sebring,FL,Covenant Presbyterian Church,105,6,5,3,3,436482,NA,438114,609,438723,249355,270548,559929,4253.53398058252
Oak Ridge,TN,Covenant Presbyterian Church,183,12,33,9,8,346699,49792,402149,0,402149,312469,339064,673383,2717.22297297297
Lakeland,FL,Covenant Presbyterian Church,560,25,19,19,13,1539183,355766,1932667,68819,2001486,1143094,715057,2203890,4868.17884130982
Sun City West,AZ,Covenant Presbyterian Church,52,5,17,1,5,180474,4560,185804,NA,185804,161602,31943,225945,3573.15384615385
Paso Robles,CA,Covenant Presbyterian Church,161,5,16,3,5,409973,NA,413453,25,413478,360627,0,399527,3017.90510948905
Lander,WY,Covenant Presbyterian Church,115,14,2,4,1,286913,NA,345463,7700,353163,215989,NA,258889,4486.53246753247
Wheat Ridge,CO,Covenant Presbyterian Church,67,6,4,2,1,170519,NA,186519,5678,192197,150041,1387,167828,3657.23529411765
Harleysville,PA,Covenant Presbyterian Church,436,24,22,7,9,966125,111923,1093121,16818,1109939,601943,377813,1162532,3353.13190184049
Chicago,IL,Covenant Presbyterian Church,478,34,72,4,8,NA,NA,0,NA,0,NA,NA,0,0
Hendersonville,NC,Covenant Presbyterian Church,272,10,3,5,12,742750,5556,893491,29863,923354,727222,7132,928539,3588.31726907631
Milledgeville,GA,Covenant Presbyterian Church,134,10,3,5,5,299655,15110,330799,36131,366930,271110,22428,333626,3150.46666666667
Warner Robins,GA,Covenant Presbyterian Church,29,1,4,2,0,90251,NA,104484,1884,106368,79492,NA,101890,4018.61538461538
Cedar Bluff,VA,Covenant Presbyterian Church,90,0,1,2,5,166429,NA,187366,NA,187366,111578,NA,182172,2081.84444444444
Houston,TX,Covenant Presbyterian Church,108,4,15,3,4,351935,NA,399178,30789,429967,415830,NA,475501,5622.22535211268
Cherry Hill,NJ,Covenant Presbyterian Church,333,11,3,8,7,675106,20,707274,141893,849167,497176,NA,573576,2898.66393442623
Short Hills,NJ,Covenant Presbyterian Church,121,17,19,5,3,367124,NA,379986,NA,379986,331738,NA,372238,3838.24242424242
Easley,SC,Covenant Presbyterian Church,273,34,9,8,NA,NA,NA,0,NA,0,NA,NA,0,0
Birmingham,AL,Covenant Presbyterian Church,1801,111,37,21,27,6551009,107250,7413640,180417,7594057,5364154,NA,6621405,5751.46625290923
Harrisonburg,VA,Covenant Presbyterian Church,1012,60,46,12,15,2841663,1898848,4770098,65807,4835905,2446938,98204,3131574,5476.57634902411
Harlingen,TX,Covenant Presbyterian Church,74,7,26,0,2,161059,NA,161059,10137,171196,202075,0,211370,2729.81355932203
Auburn,AL,Covenant Presbyterian Church,231,0,0,NA,NA,553671,NA,553671,NA,553671,NA,NA,152344,2396.84415584416
Laurel,MS,Covenant Presbyterian Church,64,2,0,2,2,95703,NA,95703,NA,95703,93639,NA,107040,1622.08474576271
Issaquah,WA,Covenant Presbyterian Church,198,6,16,7,4,1021407,35450,1153942,0,1153942,698582,NA,928588,6519.44632768362
Cynthiana,KY,Covenant Presbyterian Church,58,7,1,3,1,51170,NA,90781,647,91428,78221,NA,80466,1891.27083333333
Oviedo,FL,Covenant Presbyterian Church,160,7,7,4,3,418443,NA,418443,5763,424206,223162,103641,360030,3429.8606557377
Holland,MI,Covenant Presbyterian Church,248,23,9,7,5,372195,NA,372195,NA,372195,421150,NA,475692,1815.58536585366
Nashville,TN,Covenant Presbyterian Church,1859,280,35,40,23,6184284,NA,7260870,1149637,8410507,5147177,1430617,7722904,4727.12890625
